Captured On,Real-Time Temperature
1/19/2018,-14.31
1/19/2018,-12.25
1/19/2018,-15.25
1/19/2018,-11.5
1/19/2018,-14
1/19/2018,-14.88
1/19/2018,-12.44
1/19/2018,-15.5
1/19/2018,-11.44
1/19/2018,-14.19
1/19/2018,-15.69
1/19/2018,-11.38
1/19/2018,-14.13
1/19/2018,-15.31
1/19/2018,-15.75
1/19/2018,-11.94
1/19/2018,-14.69
1/19/2018,-13.31
1/19/2018,-13.19
1/19/2018,-6.38
1/19/2018,1.81
1/19/2018,-1.06
1/19/2018,-4.31
1/19/2018,-7.94
1/19/2018,-9.88
1/19/2018,-11.75
1/19/2018,-12.81
1/19/2018,-14.13
1/19/2018,-15
1/19/2018,-15.75
1/19/2018,-11.56
1/19/2018,-14.5
1/19/2018,-14.75
1/19/2018,-14.81
1/19/2018,-15.63
1/19/2018,-11.5
1/19/2018,-14.5
1/19/2018,-14.19
1/19/2018,-12.88
1/19/2018,-15.69
1/19/2018,-11.69
1/19/2018,-15
1/19/2018,-12.06
1/19/2018,-14.06
1/19/2018,-14.44
1/19/2018,-13
1/19/2018,-15.81
1/19/2018,-12.06
1/19/2018,-15.5
1/19/2018,-11.94
1/19/2018,-15.25
1/19/2018,-11.56
1/19/2018,-14.63
1/19/2018,-12.88
1/19/2018,-14
1/19/2018,-14
1/19/2018,-13.5
1/19/2018,-14.94
1/19/2018,-13
1/19/2018,-15.81
1/19/2018,-11.44
1/19/2018,-14.81
1/19/2018,-10.75
1/19/2018,-14.19
1/19/2018,-14.44
1/19/2018,-13.19
1/19/2018,-15.5
1/19/2018,-11.06
1/19/2018,-5.25
1/19/2018,0.25
1/19/2018,-3.38
1/19/2018,-8.63
1/19/2018,-12
1/19/2018,-14.13
1/19/2018,-15.5
1/19/2018,-11.44
1/19/2018,-14.56
1/19/2018,-13
1/19/2018,-13.69
1/19/2018,-15.81
1/19/2018,-12.06
1/19/2018,-15.44
1/19/2018,-11.63
1/19/2018,-15.06
1/19/2018,-10.75
1/19/2018,-14
1/19/2018,-14.06
1/19/2018,-13.38
1/19/2018,-15.13
1/19/2018,-12.88
1/19/2018,-15.63
1/19/2018,-11.75
1/19/2018,-15.38
1/19/2018,-11.56
1/19/2018,-15
1/19/2018,-11.69
1/20/2018,-14.69
1/20/2018,-12.25
1/20/2018,-14.19
1/20/2018,-13.81
1/20/2018,-13.5
1/20/2018,-15
1/20/2018,-12.88
1/20/2018,-15.63
1/20/2018,-12.44
1/20/2018,-15.81
1/20/2018,-12.13
1/20/2018,-15.75
1/20/2018,-11.88
1/20/2018,-15.56
1/20/2018,-11.75
1/20/2018,-15.44
1/20/2018,-11.69
1/20/2018,-15.31
1/20/2018,-11.63
1/20/2018,-15.19
1/20/2018,-12.31
1/20/2018,-5.88
1/20/2018,-1.31
1/20/2018,-8.06
1/20/2018,-12.19
1/20/2018,-14.5
1/20/2018,-15
1/20/2018,-12.63
